Time,Temperature,Vibration,Pressure,Humidity,Current,RPM,Voltage,Sound,Machine_Status
135,36,0.44,159,87,14,1806,254,103,Warning
136,35,1.25,137,64,19,1897,222,117,Failure
137,30,1.21,97,62,40,508,250,79,Failure
138,43,0.11,142,49,15,1183,211,42,Warning
139,36,0.62,137,82,45,1095,258,71,Failure
140,99,0.4,176,78,43,2037,252,115,Failure
141,26,0.87,157,37,5,1254,238,48,Warning
142,46,0.98,110,77,39,2508,241,45,Warning
143,83,0.21,130,90,30,501,253,39,Failure
144,22,0.49,134,61,46,2882,246,88,Failure
145,62,0.96,158,57,26,1616,222,87,Warning
146,99,0.28,107,41,33,2025,202,32,Failure
147,59,0.96,151,69,35,1359,210,36,Warning
148,69,0.08,93,56,36,756,234,67,Warning
149,60,0.97,102,78,25,2629,234,82,Warning
150,43,1.01,108,32,11,519,246,97,Warning
151,99,0.11,101,39,18,880,251,40,Failure
152,43,0.2,163,52,46,1038,229,97,Failure
153,44,0.14,115,79,42,1976,235,35,Failure
154,76,0.16,126,40,13,1993,212,35,Warning
155,33,0.25,179,78,21,1784,220,49,Failure
156,47,1.34,155,54,28,2992,236,112,Failure
157,35,1.07,104,85,39,803,238,81,Warning
158,31,1.39,92,85,48,699,242,64,Failure
159,38,0.65,107,78,17,1466,233,47,Warning
160,78,0.74,125,43,9,919,204,88,Warning
161,60,0.78,148,49,37,1653,215,91,Warning
162,53,1.15,102,51,34,1760,258,40,Warning
163,96,0.2,141,46,48,1954,229,90,Failure
164,61,0.22,102,33,34,2272,213,58,Warning
165,54,0.29,158,70,32,530,226,85,Warning
166,67,0.3,104,86,9,627,207,83,Warning
167,24,0.65,141,79,22,2262,209,77,Warning
168,82,1.33,160,86,17,761,205,30,Failure
169,76,1.44,120,64,45,2306,226,48,Failure
170,42,0.59,170,75,25,741,229,47,Failure
171,28,0.78,115,68,15,816,237,105,Warning
172,45,0.84,109,82,38,2490,260,57,Warning
173,73,0.13,113,67,49,1154,241,51,Failure
174,53,0.47,167,30,34,2240,231,89,Failure
175,31,1.06,134,73,21,1779,215,91,Warning
176,67,0.05,161,85,9,1985,216,53,Failure
177,93,1.4,110,33,26,2128,219,116,Failure
178,51,1.1,166,53,34,1075,218,105,Failure
179,66,0.75,173,76,7,1818,200,47,Failure
180,59,1.16,102,34,21,2731,237,108,Warning
181,26,1.35,109,67,18,1377,203,99,Failure
182,43,0.99,163,66,26,1204,226,117,Failure
183,65,0.57,147,45,41,722,239,111,Failure
184,30,1.42,134,48,19,2025,225,109,Failure
185,86,0.77,164,82,26,1297,226,49,Failure
186,76,0.94,140,75,22,2265,239,104,Warning
187,68,1.02,121,37,27,2848,202,31,Warning
188,87,1.1,132,70,20,1738,210,90,Failure
189,22,0.12,140,84,41,1841,251,105,Failure
190,63,0.83,97,73,41,2726,204,44,Failure
191,85,1.48,140,61,13,2107,225,72,Failure
192,69,0.31,122,71,45,515,210,88,Failure
193,54,0.36,105,52,6,2702,220,113,Normal
194,26,0.09,153,42,18,1513,240,105,Warning
195,26,0.12,164,44,8,2590,259,57,Failure
196,40,0.84,171,86,33,1116,203,97,Failure
197,86,0.23,135,68,42,1091,250,68,Failure
198,34,0.43,119,48,38,2144,249,72,Warning
199,68,0.24,129,63,42,1260,209,104,Failure
200,25,0.97,143,40,7,1193,237,114,Warning
201,61,1.22,165,56,33,1229,241,75,Failure
202,28,0.37,121,76,36,1895,225,91,Warning
203,58,0.16,119,68,16,2286,259,109,Warning
204,33,0.05,118,31,28,1514,248,113,Normal
205,95,1.36,103,40,39,2597,258,119,Failure
206,97,0.62,148,48,25,1049,226,35,Failure
207,87,1.03,149,56,48,1598,223,99,Failure
208,96,0.15,159,41,6,2473,247,70,Failure
209,45,0.05,134,30,39,956,258,114,Warning
210,98,1.22,120,63,16,2505,250,115,Failure
211,42,1.08,160,35,50,2741,200,97,Failure
212,94,0.7,175,57,25,828,246,62,Failure
213,49,0.96,99,86,30,2908,205,54,Warning
214,93,0.88,146,53,8,1563,259,88,Failure
215,26,0.71,110,47,35,1001,229,105,Warning
216,79,0.93,147,75,18,2503,237,37,Warning
217,33,0.95,138,35,5,1076,216,117,Warning
218,72,0.62,131,38,10,2135,224,62,Warning
219,93,0.41,135,32,48,2248,202,87,Failure
220,88,0.61,156,34,16,2249,214,98,Failure
221,35,1.06,91,37,5,597,208,55,Warning
222,20,1.23,129,57,17,1515,219,77,Failure
223,30,0.03,117,74,32,2342,219,92,Warning
224,34,1.38,92,77,33,1390,242,38,Failure
225,39,1.44,90,70,13,1678,228,48,Failure
226,66,0.26,109,36,37,747,257,82,Warning
227,48,0.09,152,62,45,2592,213,39,Failure
228,92,0.57,126,81,34,2461,215,30,Failure
229,96,1.07,148,53,13,1282,246,65,Failure
230,80,0.84,138,73,15,2497,234,41,Warning
231,27,0.31,152,62,39,1303,209,30,Warning
232,69,1.0,157,71,5,717,246,67,Warning
233,83,1.24,176,79,48,1205,253,94,Failure
234,72,0.95,92,54,46,771,233,118,Failure
235,35,1.44,94,85,13,1021,206,83,Failure
236,79,1.37,163,89,46,2418,210,68,Failure
237,68,1.05,124,71,14,636,258,47,Warning
238,50,0.14,155,41,30,1185,240,55,Warning
239,39,1.44,149,69,14,1771,235,114,Failure
240,83,0.57,116,67,42,1686,240,82,Failure
241,71,1.38,105,83,20,2220,202,101,Failure
242,24,0.09,97,42,15,552,233,62,Normal
243,52,0.18,162,40,40,2453,208,99,Failure
244,61,1.14,98,60,20,745,252,76,Warning
245,27,1.37,119,43,14,1729,246,52,Failure
246,98,1.4,95,66,22,882,215,42,Failure
247,38,0.55,129,86,25,2755,219,115,Normal
248,88,0.03,150,64,13,2326,213,90,Failure
249,84,0.39,97,37,12,1269,253,92,Failure
250,71,0.91,92,33,42,1797,203,46,Failure
251,36,0.27,179,85,31,1275,208,61,Failure
252,22,0.88,163,80,40,733,230,120,Failure
253,92,1.1,95,52,14,2188,260,115,Failure
254,30,0.72,164,54,36,2864,254,57,Failure
255,20,0.84,150,56,42,1655,218,98,Failure
256,55,1.45,132,70,24,2465,244,97,Failure
257,86,0.69,147,65,46,1833,200,107,Failure
258,79,1.47,172,80,38,810,244,85,Failure
259,76,0.16,161,82,10,1603,245,35,Failure
260,62,0.24,128,90,18,2050,239,80,Warning
261,22,1.5,143,32,43,2377,254,73,Failure
262,99,0.84,131,50,5,1626,259,70,Failure
263,86,0.28,146,44,13,831,226,81,Failure
264,76,0.49,162,80,29,2877,251,73,Failure
265,20,1.35,92,80,28,2059,233,103,Failure
266,69,0.99,139,48,31,722,224,81,Warning
267,81,1.31,100,32,29,1124,253,66,Failure
268,83,0.11,178,58,32,1709,243,79,Failure
269,65,0.19,161,52,14,512,235,102,Failure
270,90,0.72,127,77,8,834,216,34,Failure
271,85,1.2,163,59,34,893,246,112,Failure
272,70,0.13,123,58,7,1145,229,77,Warning
273,20,0.72,110,47,21,2108,219,46,Warning
274,71,0.63,158,45,6,2334,223,93,Warning
275,45,0.1,111,49,48,1819,254,51,Failure
276,40,0.32,169,52,29,1491,245,105,Failure
277,54,0.06,173,74,10,1830,213,71,Failure
278,45,1.25,169,36,24,670,253,40,Failure
279,93,0.77,160,73,36,2866,257,88,Failure
280,69,0.48,101,68,12,2198,259,75,Warning
281,46,1.19,167,62,7,2590,236,80,Failure
282,67,1.34,141,90,38,1287,260,53,Failure
283,86,0.8,118,40,16,2356,243,78,Failure
284,55,0.87,153,67,46,1690,223,114,Failure
285,23,1.46,111,53,19,1872,208,96,Failure
286,35,0.56,94,74,36,707,254,74,Warning
287,53,0.33,119,39,15,935,209,106,Normal
288,84,1.21,146,71,18,2214,211,42,Failure
289,35,1.39,121,65,23,2531,234,63,Failure
290,60,0.29,172,52,14,2760,225,101,Failure
291,23,0.73,145,48,35,1961,238,45,Warning
292,59,1.46,110,54,32,891,227,116,Failure
293,74,0.63,168,37,25,2975,239,108,Failure
294,20,0.39,144,61,35,2198,206,51,Warning
295,79,1.2,141,68,29,942,220,46,Warning
296,70,1.31,101,63,16,1379,221,94,Failure
297,47,0.97,139,43,32,1567,240,63,Warning
298,70,0.06,121,89,21,2916,231,80,Warning
299,72,0.8,178,32,26,911,215,106,Failure
300,98,0.42,126,69,28,2847,254,73,Failure
301,22,0.36,160,56,34,2431,247,104,Warning
302,29,1.09,158,36,6,2746,209,43,Warning
303,74,0.31,101,66,50,1474,233,97,Failure
304,37,0.42,101,43,27,1381,215,72,Normal
305,32,0.42,160,45,14,1947,215,49,Warning
306,83,0.29,105,67,43,2971,220,40,Failure
307,78,1.46,99,31,16,2272,223,82,Failure
308,98,1.07,150,74,34,2878,235,117,Failure
309,91,0.25,171,35,26,973,205,62,Failure
310,35,1.31,168,48,44,2192,218,90,Failure
311,84,1.34,161,66,41,1145,211,84,Failure
312,34,0.92,120,50,26,2159,248,88,Warning
313,85,0.27,140,54,36,1189,225,86,Failure
314,39,0.12,128,82,33,2372,203,108,Warning
315,37,0.62,147,83,22,2218,222,49,Warning
316,47,0.26,177,41,13,1212,260,43,Failure
317,66,1.16,99,58,13,1391,203,108,Warning
318,57,1.42,149,36,32,574,207,87,Failure
319,25,1.13,138,72,11,532,242,60,Warning
320,22,1.16,142,90,41,2099,243,67,Failure
321,77,1.21,142,67,34,525,203,109,Failure
322,44,0.12,108,54,21,796,202,74,Normal
323,57,1.28,151,77,33,2905,222,60,Failure
324,28,0.75,96,53,21,2009,233,101,Warning
325,57,1.32,162,82,6,669,228,67,Failure
326,24,0.03,141,32,35,2356,246,33,Warning
327,83,0.81,110,55,15,1774,212,71,Failure
328,81,0.27,147,88,9,1699,252,69,Failure
329,31,0.85,170,77,39,1671,236,45,Failure
330,75,1.44,169,74,37,976,200,105,Failure
331,24,1.05,129,30,45,2322,204,56,Failure
332,89,1.45,129,52,28,2439,251,116,Failure
333,33,0.16,108,45,35,1562,252,96,Warning
334,30,0.79,102,74,24,597,243,79,Warning
335,78,0.05,128,66,7,2557,239,40,Warning
336,21,0.48,149,78,39,989,218,112,Warning
337,20,0.21,91,67,18,800,259,120,Normal
338,43,0.69,120,38,19,1451,204,77,Warning
339,92,0.1,95,59,38,2082,251,119,Failure
340,47,1.1,167,69,12,1766,225,117,Failure
341,90,1.17,147,49,27,1506,213,47,Failure
342,81,1.02,163,88,13,1163,242,62,Failure
343,98,1.08,147,34,48,1031,209,100,Failure
344,72,0.4,129,57,38,2094,254,33,Warning
345,92,1.45,137,41,25,1823,200,30,Failure
346,37,0.16,166,78,15,710,208,120,Failure
347,70,0.37,178,37,39,2229,259,109,Failure
348,90,0.84,161,85,28,1730,226,107,Failure
349,77,0.83,175,62,11,2364,242,38,Failure
350,38,0.93,134,55,17,2894,243,79,Warning
351,98,1.41,103,34,39,2677,237,55,Failure
352,31,0.94,162,79,35,1535,212,35,Failure
353,72,0.05,153,52,8,1056,257,30,Warning
354,90,0.12,92,52,26,2304,242,118,Failure
355,98,0.49,102,46,13,2649,243,96,Failure
356,36,0.12,139,68,47,2877,221,74,Failure
357,76,0.76,117,40,29,1126,201,40,Warning
358,25,0.12,180,54,47,1456,223,74,Failure
359,76,0.52,126,85,21,1660,228,78,Warning
360,65,0.38,167,63,7,2210,201,62,Failure
361,70,0.74,165,80,23,1604,212,79,Failure
362,62,0.03,176,35,41,1977,256,112,Failure
363,86,0.42,95,44,44,840,235,67,Failure
364,77,0.17,91,84,40,1301,228,53,Warning
365,71,1.32,144,42,41,1890,255,90,Failure
366,98,0.15,97,32,41,1059,237,43,Failure
367,61,0.64,108,40,25,2597,259,87,Warning
368,26,1.36,115,82,30,1701,243,65,Failure
369,78,1.12,160,63,15,2411,251,62,Warning
370,71,0.7,150,39,47,2462,201,37,Failure
371,21,1.06,128,72,33,2554,229,42,Warning
372,78,0.74,150,89,18,650,200,56,Warning
373,54,0.44,111,72,30,2254,201,117,Normal
374,52,0.23,157,61,44,1703,216,95,Failure
375,90,1.45,139,89,28,2351,240,106,Failure
376,83,0.47,130,76,12,2747,221,94,Failure
377,34,0.88,132,36,10,1714,230,81,Warning
378,72,0.13,158,43,36,2500,235,83,Warning
379,39,0.49,119,45,48,2609,243,120,Failure
380,85,1.44,140,39,15,1990,239,87,Failure
381,49,0.61,101,73,35,2242,207,57,Warning
382,92,0.82,180,66,18,2745,255,61,Failure
383,72,1.29,145,73,5,2960,246,70,Failure
384,66,0.15,128,31,29,619,241,98,Warning
385,48,0.18,92,89,18,1837,238,65,Normal
386,27,1.41,162,73,43,2156,253,36,Failure
387,70,0.31,155,72,42,2920,243,79,Failure
388,27,0.27,135,63,20,1393,246,38,Warning
389,82,0.21,159,64,42,2078,219,107,Failure
390,21,0.83,159,79,35,2590,210,92,Warning
391,47,0.83,120,42,47,598,211,102,Failure
392,45,1.47,116,77,44,2318,247,98,Failure
393,49,1.5,161,52,8,1320,248,48,Failure
394,80,1.13,170,39,13,2359,211,102,Failure
395,46,0.61,153,57,43,1755,220,68,Failure
396,81,0.39,99,76,5,2316,207,63,Failure
397,70,1.46,163,73,7,2298,205,83,Failure
398,37,0.57,136,79,38,2467,251,41,Warning
399,48,0.44,167,72,20,623,253,43,Failure
400,89,1.26,152,48,47,1073,223,46,Failure
401,59,0.31,95,37,5,508,207,70,Warning
402,75,1.12,109,37,5,1286,246,66,Warning
403,64,0.79,177,72,22,1763,208,76,Failure
404,38,0.49,138,71,18,1140,223,115,Warning
405,32,0.73,177,79,31,2953,258,86,Failure
406,100,0.44,154,33,9,1492,248,98,Failure
407,76,0.71,123,57,11,1028,231,77,Warning
408,41,0.1,126,65,37,752,221,86,Warning
409,71,1.48,114,67,49,2299,207,73,Failure
410,55,0.1,92,38,38,1724,217,46,Warning
411,83,1.0,101,72,14,615,224,84,Failure
412,84,1.21,128,74,26,998,239,91,Failure
413,42,0.9,113,61,26,2650,223,72,Warning
414,51,0.84,171,39,20,560,231,118,Failure
415,26,0.06,107,45,29,1533,226,63,Normal
416,35,0.88,143,82,48,2362,256,85,Failure
417,27,1.25,132,80,45,899,246,31,Failure
418,71,0.62,154,53,32,2091,222,64,Warning
419,59,1.46,162,31,18,1934,231,79,Failure
420,36,1.12,151,35,5,1546,229,107,Warning
421,90,1.07,158,67,30,2160,248,55,Failure
422,62,0.81,165,45,6,1477,220,111,Failure
423,77,0.05,178,72,18,730,232,84,Failure
424,46,0.21,178,72,36,2127,244,63,Failure
425,92,0.42,120,36,6,1063,200,32,Failure
426,48,0.02,140,80,28,2324,221,45,Warning
427,29,1.12,105,57,15,526,252,113,Warning
428,50,0.68,90,59,6,1046,226,71,Warning
429,77,1.49,179,88,42,1551,258,44,Failure
430,53,1.18,137,53,15,1348,237,108,Warning
431,70,0.96,124,35,39,930,213,46,Warning
432,72,0.56,95,54,21,2801,252,31,Warning
433,35,0.06,168,61,26,1040,209,61,Failure
434,46,0.11,157,64,10,1981,258,63,Warning
435,65,1.15,178,71,19,2296,240,89,Failure
436,84,1.47,126,83,23,2334,202,40,Failure
437,27,0.36,141,47,19,721,219,90,Warning
438,32,1.23,143,84,12,1638,254,49,Failure
439,61,0.96,114,60,15,831,240,36,Warning
440,61,0.67,170,83,26,1676,219,71,Failure
441,86,0.62,157,51,47,575,244,100,Failure
442,37,0.27,110,30,41,2537,202,113,Failure
443,28,0.19,90,43,17,1019,206,32,Normal
444,82,1.14,127,79,15,1472,228,72,Failure
445,95,1.21,114,53,29,2812,254,94,Failure
446,77,1.39,100,90,13,1702,232,73,Failure
447,35,0.2,119,70,9,586,208,118,Normal
448,91,0.96,129,82,9,1694,205,94,Failure
449,94,0.62,158,40,15,2789,246,70,Failure
450,52,1.01,178,90,18,2540,230,35,Failure
451,71,1.14,172,65,28,1970,223,64,Failure
452,63,0.77,137,38,22,1150,248,112,Warning
453,72,0.13,146,64,33,799,245,85,Warning
454,60,1.14,169,30,32,2875,243,65,Failure
455,48,0.83,161,66,43,2070,255,80,Failure
456,67,1.4,124,61,49,1977,240,102,Failure
457,21,0.32,143,46,32,2838,220,62,Warning
458,31,0.53,108,45,25,923,225,97,Normal
459,34,0.66,129,31,47,1310,201,37,Failure
460,72,1.06,156,80,7,1169,228,52,Warning
461,28,0.03,145,63,22,1894,233,111,Warning
462,36,1.14,151,48,36,970,222,97,Warning
463,92,0.95,103,67,28,2667,228,99,Failure
464,73,0.65,129,34,48,1185,256,56,Failure
465,39,1.38,148,42,21,1576,219,33,Failure
466,27,0.09,167,33,22,1380,235,33,Failure
467,91,0.94,101,51,20,1791,244,69,Failure
468,25,0.42,146,74,28,933,200,44,Warning
469,58,0.05,110,77,29,2440,228,30,Warning
470,96,0.9,122,71,50,2165,238,107,Failure
471,56,0.53,117,89,34,951,236,75,Warning
472,57,0.62,160,75,15,1324,207,113,Warning
473,38,0.67,123,50,13,1580,211,57,Warning
474,88,1.25,143,71,26,2382,252,115,Failure
475,30,0.31,134,87,33,2234,200,85,Warning
476,90,1.48,92,54,33,1560,238,34,Failure
477,96,0.24,126,67,45,973,250,65,Failure
478,44,0.56,110,60,14,1339,225,35,Normal
479,75,0.69,169,77,34,1411,252,50,Failure
480,45,1.26,152,68,26,582,208,45,Failure
481,100,1.44,93,52,19,1143,250,109,Failure
482,93,0.82,122,43,30,1416,217,90,Failure
483,75,0.68,132,42,42,1404,218,86,Failure
484,28,1.06,107,68,47,1000,206,87,Failure
485,76,0.83,150,74,36,2618,241,38,Warning
486,79,0.76,115,52,19,2214,213,111,Warning
487,88,1.2,133,71,23,2443,211,77,Failure
488,54,0.84,174,55,29,678,244,53,Failure
489,90,0.97,159,42,10,2750,253,63,Failure
490,40,0.94,128,54,32,1597,234,105,Warning
491,80,0.22,137,57,45,1541,253,32,Failure
492,89,0.23,172,56,33,1450,255,112,Failure
493,93,1.39,162,50,41,618,221,81,Failure
494,73,1.39,137,50,39,529,240,69,Failure
495,86,0.66,160,75,42,1069,252,95,Failure
496,99,0.87,132,36,38,1989,220,73,Failure
497,66,0.82,106,81,25,923,254,112,Warning
498,65,1.03,151,60,21,2650,226,101,Warning
499,67,0.42,170,53,5,1974,211,82,Failure
500,35,1.36,95,59,32,1284,259,45,Failure
501,44,0.56,171,32,13,610,214,91,Failure
502,66,1.49,122,45,29,623,247,71,Failure
503,54,0.11,106,75,25,940,215,96,Normal
504,60,0.43,178,87,48,2911,237,33,Failure
505,61,0.24,173,82,21,1954,226,95,Failure
506,88,0.33,107,40,34,1441,224,49,Failure
507,60,0.48,153,30,43,1996,248,61,Failure
508,98,1.11,120,48,31,1771,239,95,Failure
509,59,0.09,172,35,5,2941,206,107,Failure
510,51,0.42,91,74,46,1119,244,110,Failure
511,81,0.72,160,86,35,1168,239,118,Failure
512,82,0.29,168,87,28,824,203,106,Failure
513,26,1.38,152,61,19,509,244,92,Failure
514,63,0.05,115,78,5,1693,202,90,Warning
515,56,1.17,156,81,38,2643,240,69,Warning
516,34,0.17,96,67,33,2719,233,77,Warning
517,49,0.37,170,81,39,2051,243,43,Failure
518,73,1.06,180,50,48,2939,255,54,Failure
519,63,1.4,120,69,35,1852,236,70,Failure
520,37,0.14,175,48,23,1376,215,117,Failure
521,24,1.13,97,56,38,547,244,72,Warning
522,45,0.93,109,33,43,691,224,110,Failure
523,41,0.05,130,58,37,1060,240,61,Warning
524,50,1.06,133,34,37,2614,208,46,Warning
525,82,0.71,159,37,29,2051,241,97,Failure
526,28,1.2,147,57,23,1947,242,64,Warning
527,91,0.95,110,36,14,1506,208,45,Failure
528,25,1.15,121,69,11,1726,256,95,Warning
529,60,0.78,149,41,9,1440,200,116,Warning
530,57,0.74,94,75,33,530,241,91,Warning
531,49,0.3,170,87,44,1355,205,80,Failure
532,41,0.04,158,50,35,2821,218,75,Warning
533,92,0.21,99,56,19,1515,246,96,Failure
534,89,1.14,172,67,11,2680,220,80,Failure
535,84,0.76,102,68,26,866,244,54,Failure
536,93,0.99,112,71,26,2857,260,77,Failure
537,64,1.47,163,56,29,1586,216,63,Failure
538,72,1.21,154,39,34,2877,222,61,Failure
539,91,1.06,169,60,11,1500,226,50,Failure
540,37,0.34,102,62,39,914,217,48,Warning
541,56,0.95,139,48,48,2074,250,54,Failure
542,94,1.14,145,85,44,1788,234,57,Failure
543,22,1.25,99,34,30,652,259,85,Failure
544,81,0.27,149,89,15,1719,248,102,Failure
545,42,0.67,141,87,37,2184,226,46,Warning
546,85,1.38,105,62,22,2489,250,50,Failure
547,50,1.01,155,74,30,510,247,115,Warning
548,41,1.4,107,81,11,2639,228,119,Failure
549,86,0.82,158,36,32,2369,240,109,Failure
550,50,1.37,98,80,20,1001,200,102,Failure
551,44,1.05,93,61,32,2686,211,87,Warning
552,70,0.72,154,32,31,2720,254,55,Warning
553,72,1.22,138,66,11,2881,243,96,Failure
554,71,0.61,143,77,49,2434,255,57,Failure
555,61,0.48,118,66,25,707,253,99,Warning
556,64,0.97,109,61,12,1864,247,40,Warning
557,87,0.13,104,80,37,1379,242,65,Failure
558,32,0.9,111,40,19,2941,237,51,Warning
559,100,0.51,158,88,30,1357,236,67,Failure
560,40,0.53,145,33,38,1939,238,56,Warning
